date,metric,suburb_value,cr_value,sa3_value,area_name,property_type
2008-02-29,sell_price,349000.0,478000.0,557000.0,Belmont North,unit
2008-02-29,sell_price,333000.0,368000.0,377000.0,Belmont North,house
2008-03-31,sell_price,342000.0,370000.0,377000.0,Belmont North,house
2008-03-31,sell_price,349000.0,422000.0,396000.0,Belmont North,unit
2008-04-30,sell_price,349000.0,371000.0,377000.0,Belmont North,house
2008-04-30,sell_price,340000.0,420000.0,391000.0,Belmont North,unit
2008-05-31,sell_price,356000.0,371000.0,378000.0,Belmont North,house
2008-05-31,sell_price,340000.0,420000.0,387000.0,Belmont North,unit
2008-06-30,sell_price,356000.0,371000.0,378000.0,Belmont North,house
2008-06-30,sell_price,339000.0,419000.0,386000.0,Belmont North,unit
2008-07-31,sell_price,351000.0,371000.0,377000.0,Belmont North,house
2008-07-31,sell_price,340000.0,412000.0,365000.0,Belmont North,unit
2008-08-31,sell_price,352000.0,370000.0,376000.0,Belmont North,house
2008-08-31,sell_price,344000.0,411000.0,364000.0,Belmont North,unit
2008-09-30,sell_price,355000.0,370000.0,376000.0,Belmont North,house
2008-09-30,sell_price,346000.0,411000.0,364000.0,Belmont North,unit
2008-10-31,sell_price,346000.0,411000.0,364000.0,Belmont North,unit
2008-10-31,sell_price,358000.0,370000.0,376000.0,Belmont North,house
2008-11-30,sell_price,352000.0,371000.0,376000.0,Belmont North,house
2008-11-30,sell_price,346000.0,410000.0,363000.0,Belmont North,unit
2008-12-31,sell_price,346000.0,410000.0,361000.0,Belmont North,unit
2008-12-31,sell_price,348000.0,370000.0,375000.0,Belmont North,house
2009-01-31,sell_price,346000.0,476000.0,557000.0,Belmont North,unit
2009-01-31,sell_price,344000.0,369000.0,374000.0,Belmont North,house
2009-02-28,sell_price,344000.0,368000.0,372000.0,Belmont North,house
2009-02-28,sell_price,350000.0,476000.0,559000.0,Belmont North,unit
2009-03-31,sell_price,343000.0,367000.0,369000.0,Belmont North,house
2009-03-31,sell_price,351000.0,476000.0,559000.0,Belmont North,unit
2009-04-30,sell_price,339000.0,366000.0,368000.0,Belmont North,house
2009-04-30,sell_price,353000.0,473000.0,548000.0,Belmont North,unit
2009-05-31,sell_price,338000.0,367000.0,368000.0,Belmont North,house
